,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,rt,estimate,control
19432,22494,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.4,0.0,0.0,prospective_sensory,False,1.4142135623730951,0.0,,0.630246954894429,0.7071067811865475
19433,592,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.01,0.4,prospective_sensory,False,0.7071067811865476,0.0,,0.6137134330466273,1.4086622093386636
19434,287,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.8,0.005,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6024230457323415,2.824673009501718
19435,18698,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.4,0.005,0.8,prospective_sensory,False,4.0,0.0,,0.6272042169549503,0.2454276580628183
19436,5677,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.0,0.4,prospective_sensory,False,0.7071067811865476,0.0,,0.6008497725297206,1.414213562373095
19437,20603,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.0,0.0,0.8,prospective_sensory,False,2.8284271247461903,0.0,,0.6333658006418612,0.35355339059327373
19438,763,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.8,0.0,0.4,prospective_sensory,False,0.3535533905932738,0.0,,0.6041955316365413,2.82842712474619
19439,21555,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.0,0.005,0.0,prospective_sensory,False,2.0,0.0,,0.6273841681564397,0.49895639253704727
19440,11026,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.0,0.005,0.4,prospective_sensory,False,0.7071067811865476,0.0,,0.6222627696689439,1.4069024761714188
19441,12908,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.0,0.0,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6534155506581832,2.82842712474619
